TIME P_Ch3_mesh1 P_Ch3_mesh2 P_Ch3_mesh3 P_Ch3_mesh4 P_Ch3_mesh5 P_Ch3_mesh6 P_Ch3_mesh7 P_Ch3_mesh8 P_Ch3_mesh9 P_Ch3_mesh10 P_Ch3_mesh11 P_Ch3_mesh12 P_Ch3_mesh13 P_Ch3_mesh14 P_Ch3_mesh15 
1.505929362504220080e+03 4.792908669326207018e+05 4.765074824957912788e+05 4.730877970363654313e+05 4.701260873809385812e+05 4.677253888867379865e+05 4.657154883597196895e+05 4.639841204571766430e+05 4.624634856872333912e+05 4.611000045845960849e+05 4.598331116767167114e+05 4.586925889014603454e+05 4.576050168070891523e+05 4.566966699354152079e+05 4.556312990767310839e+05 4.547573884191704565e+05
1.555929362504220080e+03 4.441872251316423062e+05 4.413913734408110031e+05 4.379132612790466519e+05 4.348208369560023420e+05 4.322768540282435715e+05 4.301701159383095801e+05 4.283771382975015440e+05 4.268135650139967329e+05 4.254205313646940631e+05 4.241337096311692148e+05 4.229838799017304555e+05 4.218885795955002541e+05 4.209830497374894912e+05 4.199228593301638612e+05 4.190576938456854550e+05
1.605929362504220080e+03 4.223847995526180021e+05 4.195162264815907110e+05 4.162114577261610539e+05 4.135125320271947421e+05 4.113352049058194971e+05 4.094752862419597222e+05 4.078526515583086293e+05 4.064306018161893589e+05 4.051572190549141378e+05 4.039783147242889972e+05 4.029446108324654633e+05 4.019825638616830111e+05 4.012001830409411341e+05 4.003637704818806960e+05 3.999430891462407890e+05
1.655929362504220080e+03 4.035793535424420843e+05 4.007853782474283944e+05 3.974660171695321333e+05 3.947125838589217747e+05 3.924819574340770487e+05 3.905857634914054070e+05 3.889348242581572849e+05 3.874707729588145157e+05 3.861492826440943172e+05 3.849095807913771132e+05 3.837828739439970814e+05 3.827035917663595756e+05 3.817998180275874329e+05 3.807148031065597315e+05 3.798653821225315332e+05
1.705929362504220080e+03 3.887379924994152389e+05 3.860075598883079947e+05 3.826777100336913136e+05 3.797948113949439139e+05 3.774071751790085109e+05 3.754331044258969487e+05 3.737667595775913796e+05 3.722822307196462061e+05 3.709530811838690424e+05 3.697038315255442285e+05 3.685987475266936235e+05 3.675277948074177839e+05 3.666656097557957983e+05 3.656448034257284598e+05 3.647644686594913946e+05
1.755929362504220080e+03 3.785284457719722413e+05 3.756739955187953892e+05 3.721858243143286090e+05 3.690887266798816854e+05 3.665135472202870296e+05 3.644004830655028927e+05 3.626356615139052738e+05 3.610819075543756480e+05 3.597050458819920896e+05 3.584326805892335833e+05 3.572789626926706987e+05 3.561778932285073679e+05 3.552526159641182167e+05 3.541447373152683722e+05 3.532915642618807615e+05
1.805929362504220080e+03 3.686383104294438381e+05 3.660077134586588363e+05 3.625803936032316415e+05 3.594427351702934830e+05 3.566329465509394649e+05 3.541856976064334740e+05 3.520807663229245809e+05 3.502551608525862102e+05 3.486878001241153106e+05 3.472600180048171896e+05 3.459307010190002038e+05 3.446727830670548137e+05 3.435945413274848252e+05 3.422797729627057561e+05 3.416214479550807737e+05
1.855929362504220080e+03 3.548691600668599713e+05 3.519905496781304246e+05 3.484570147457793937e+05 3.452511464110929519e+05 3.425928639522407902e+05 3.404412127367286012e+05 3.386420129462477635e+05 3.370914707796663861e+05 3.357231449161151540e+05 3.344655096433237195e+05 3.333478802975373692e+05 3.322822427644818090e+05 3.314091913131911424e+05 3.303805555934067816e+05 3.295471482780324295e+05
1.905929362504220080e+03 3.407665051819551154e+05 3.374496293101884075e+05 3.337481644347979454e+05 3.304561964547083480e+05 3.278282689014276257e+05 3.256229696425701841e+05 3.237813899619887234e+05 3.222052124715363607e+05 3.208641875774962828e+05 3.196878663496296504e+05 3.187420122544580954e+05 3.178542545140440925e+05 3.171932777121682884e+05 3.163957054329121602e+05 3.157819394549957942e+05
1.955929362504220080e+03 3.334279756691203220e+05 3.306189728383888141e+05 3.271886109369211481e+05 3.242357149188476033e+05 3.218214971383124357e+05 3.197921778742370661e+05 3.180252347771388013e+05 3.165045551651931601e+05 3.151383425464727916e+05 3.138314203399203834e+05 3.126267301631092560e+05 3.114268304813404102e+05 3.104776605975760031e+05 3.093809797242960194e+05 3.084765732728143339e+05
2.005929362504220080e+03 3.249446458172847633e+05 3.222373521471351269e+05 3.189067960368710337e+05 3.161252806990788085e+05 3.138748800186113804e+05 3.118886933946280042e+05 3.100414848412634456e+05 3.083091410418702289e+05 3.067376016772984294e+05 3.054809322310409043e+05 3.043747091916361242e+05 3.032300902839683695e+05 3.023244912304202444e+05 3.012376661630886374e+05 3.002086652905581868e+05
2.055929362504220080e+03 3.148380545738735818e+05 3.125480300990859396e+05 3.092675599219669821e+05 3.061024682066111127e+05 3.029857675882654148e+05 3.004048404032127582e+05 2.983682984358357498e+05 2.966544442890654900e+05 2.950932974756068434e+05 2.936051293254533666e+05 2.922334063671872718e+05 2.909123322897810722e+05 2.897218887250520056e+05 2.883176285575264483e+05 2.872897808130311314e+05
2.105929362504220080e+03 3.103757931156962295e+05 3.079186014961638139e+05 3.044821471826596535e+05 3.011257622714194586e+05 2.978005784767135628e+05 2.945776195976901217e+05 2.916780447336533107e+05 2.891806037755879806e+05 2.870440451922853244e+05 2.850786632708040997e+05 2.833472797151723644e+05 2.818318888783456641e+05 2.801876881344275898e+05 2.784056722409749636e+05 2.783440074849078665e+05
2.155929362504220080e+03 3.031101875740605174e+05 3.005754056071864325e+05 2.971393481709292391e+05 2.938103113553891890e+05 2.907425890126568847e+05 2.881354531273957109e+05 2.859119246832951903e+05 2.839890580551805906e+05 2.822836532761955750e+05 2.806861229490355472e+05 2.792369312923495891e+05 2.778985263052728842e+05 2.767782859790991643e+05 2.755010374757615500e+05 2.745558572833195794e+05
2.205929362504220080e+03 2.993020540274538216e+05 2.967695548678846098e+05 2.933351682809902122e+05 2.899984323801815626e+05 2.866708249164958252e+05 2.834816471559636411e+05 2.806868742812646087e+05 2.782070749705320341e+05 2.759670455911596655e+05 2.739945649268950801e+05 2.721980443800715148e+05 2.704993177079930319e+05 2.690401795088786166e+05 2.673916463676005369e+05 2.662442453086129390e+05
2.255929362504220080e+03 2.904370015412076027e+05 2.875262249288626481e+05 2.839257191934561706e+05 2.804504245317978202e+05 2.772626650713304407e+05 2.745299734829794033e+05 2.721101712767870631e+05 2.698908716520007001e+05 2.679432110727319377e+05 2.665337840578536270e+05 2.651845624475373770e+05 2.637541279549040482e+05 2.624529619749648846e+05 2.621864372795175295e+05 2.621394445127730723e+05
2.305929362504220080e+03 2.892818269017242710e+05 2.865651615057637682e+05 2.829266148298794869e+05 2.793386449433504604e+05 2.758525263813683414e+05 2.723054845796519076e+05 2.690070101686390117e+05 2.662536782035016222e+05 2.640320497235304792e+05 2.621523139233143884e+05 2.605124511677044793e+05 2.589607967986450822e+05 2.577302257491840573e+05 2.565470529539329582e+05 2.556032062701101240e+05
2.355929362504220080e+03 2.846131334968244191e+05 2.816914807185486425e+05 2.781049843720670324e+05 2.748168931638176437e+05 2.721169289045816404e+05 2.698642522463614005e+05 2.678835313179760124e+05 2.661576177124192473e+05 2.646686572425788036e+05 2.631158094310229062e+05 2.616301570277085702e+05 2.602807873352151946e+05 2.593136887966005597e+05 2.584228139918190136e+05 2.576715415487733553e+05
2.405929362504220080e+03 2.868431621091550915e+05 2.839621854723867727e+05 2.804120131066221511e+05 2.772484650112892268e+05 2.746785207482913393e+05 2.724844497220710036e+05 2.705825117696442176e+05 2.688670625947670778e+05 2.672479211258527939e+05 2.656368445252225501e+05 2.641828551872375538e+05 2.629139319483237923e+05 2.619002614558796922e+05 2.607148316983972327e+05 2.598377185753896483e+05
2.455929362504220080e+03 2.911854837291014846e+05 2.883247925980620785e+05 2.847730975511910510e+05 2.814362505697787274e+05 2.786236485126846237e+05 2.762826173838886898e+05 2.742615886787704076e+05 2.724761399608950596e+05 2.708793684986100998e+05 2.693873314695503796e+05 2.680525623307215865e+05 2.668378457879977650e+05 2.658360638244687580e+05 2.646841483227257850e+05 2.638027645309973159e+05
2.505929362504220080e+03 2.923407458084597019e+05 2.895507619765121490e+05 2.860343944520500954e+05 2.826268161500453134e+05 2.795524585992649081e+05 2.770870793400577386e+05 2.750644456762870541e+05 2.733231746892813826e+05 2.717803338894578046e+05 2.703670291907329811e+05 2.690952052922309958e+05 2.678910989709805581e+05 2.668679206312672468e+05 2.656981706385801663e+05 2.647820713103807648e+05
2.555929362504220080e+03 2.951480708342004218e+05 2.923322568068381515e+05 2.887898135273363441e+05 2.853462125345309614e+05 2.819504957560644252e+05 2.788639023763115983e+05 2.763110758649688796e+05 2.741963726942219073e+05 2.723948683146808180e+05 2.707919675420988351e+05 2.693765088713746518e+05 2.680712978666547569e+05 2.669789427898856229e+05 2.657553427749683033e+05 2.648241107395533472e+05
2.605929362504220080e+03 2.970834920208042022e+05 2.942361197950250353e+05 2.907029413908704882e+05 2.876170224354502861e+05 2.851311244504004717e+05 2.830763065312068793e+05 2.813269444010521402e+05 2.797978363846832071e+05 2.784361018438141909e+05 2.771744187401627423e+05 2.760571308451103396e+05 2.749778960688002990e+05 2.741019197748845327e+05 2.730755513049107976e+05 2.722337102783048758e+05
2.655929362504220080e+03 2.995653971123293741e+05 2.967410066145277815e+05 2.932125746348422836e+05 2.899382205491484492e+05 2.871116230166811147e+05 2.847881880323615624e+05 2.828296454053261550e+05 2.811315499325201381e+05 2.796270372146673035e+05 2.782473327010438661e+05 2.770163514574912260e+05 2.758497372350037913e+05 2.748818254536673776e+05 2.737700199493266409e+05 2.728884618166299188e+05
2.705929362504220080e+03 2.946086367066754028e+05 2.917023634123363881e+05 2.881336298879981041e+05 2.846953746570578078e+05 2.816292284290132229e+05 2.791645247887143632e+05 2.771616804168191738e+05 2.754740937190921977e+05 2.740120405206136056e+05 2.726888586591594503e+05 2.715351963919249829e+05 2.704392422658164869e+05 2.695602313162717037e+05 2.685385957232499495e+05 2.677089355577439419e+05
