TIME P_Ch0_mesh1 P_Ch0_mesh2 P_Ch0_mesh3 P_Ch0_mesh4 P_Ch0_mesh5 P_Ch0_mesh6 P_Ch0_mesh7 P_Ch0_mesh8 P_Ch0_mesh9 P_Ch0_mesh10 P_Ch0_mesh11 P_Ch0_mesh12 P_Ch0_mesh13 P_Ch0_mesh14 P_Ch0_mesh15 
1.261554362504220080e+03 1.268034493258698843e+06 1.265318144818472676e+06 1.261910781636274653e+06 1.258572746312026633e+06 1.255226015928011388e+06 1.251877062846022891e+06 1.248525714285432128e+06 1.245171703158386052e+06 1.241814630574941169e+06 1.238453932422745973e+06 1.235088867477848427e+06 1.231718550484407693e+06 1.228342050029783044e+06 1.224958547497609165e+06 1.222283303649979876e+06
1.311554362504220080e+03 1.200494071001491509e+06 1.197809165578048211e+06 1.194422861543892650e+06 1.191098176069230540e+06 1.187756724077980733e+06 1.184405473558958853e+06 1.181050478069942677e+06 1.177691159380736994e+06 1.174326888966864906e+06 1.170957046801355435e+06 1.167581094649372390e+06 1.164198649595263647e+06 1.160809538197067101e+06 1.157413811948159942e+06 1.154729681029710220e+06
1.361554362504220080e+03 1.142286242317139171e+06 1.139590599743879167e+06 1.136191974894203246e+06 1.132852174801523099e+06 1.129495593701781705e+06 1.126132729224011069e+06 1.122764549662055448e+06 1.119390767403265927e+06 1.116011207510548877e+06 1.112625824814963154e+06 1.109234706380634336e+06 1.105838058230867609e+06 1.102436176640254213e+06 1.099029404818970943e+06 1.096337801727194339e+06
1.411554362504220080e+03 1.095141400002233218e+06 1.092431011559623992e+06 1.089016205621022033e+06 1.085661328492941801e+06 1.082290538150214823e+06 1.078914249344657408e+06 1.075532748959460296e+06 1.072146106097827200e+06 1.068754444090138189e+06 1.065357919591777027e+06 1.061956698810793227e+06 1.058550934874081286e+06 1.055140750540995039e+06 1.051726229505971074e+06 1.049028707110810792e+06
1.461554362504220080e+03 1.055924030920477118e+06 1.053196021459034644e+06 1.049763755631340668e+06 1.046395002513232175e+06 1.043013084766147193e+06 1.039626389012834174e+06 1.036235049969239626e+06 1.032839149595302530e+06 1.029438763546090573e+06 1.026033953680863138e+06 1.022624763956399052e+06 1.019211219499390339e+06 1.015793327992740786e+06 1.012371082335266052e+06 1.009667411067375564e+06
1.511554362504220080e+03 1.023325406673848396e+06 1.020562581886868225e+06 1.017102745230889530e+06 1.013717202083017328e+06 1.010326628842264647e+06 1.006931635605050833e+06 1.003532253702453338e+06 1.000128502662888495e+06 9.967203923359637847e+05 9.933079235161871184e+05 9.898910896555541549e+05 9.864698792785470141e+05 9.830442786663082661e+05 9.796142742939159507e+05 9.769044502035637852e+05
1.564679362504220080e+03 9.936866350445911521e+05 9.909002970900313230e+05 9.874223919125528773e+05 9.840283820102690952e+05 9.806300326984097483e+05 9.772273584466344910e+05 9.738203543532862095e+05 9.704090111495086458e+05 9.669933158213986317e+05 9.635732515590519179e+05 9.601487968505611643e+05 9.567199233657091390e+05 9.532865925004209857e+05 9.498487512159397593e+05 9.471326338221094338e+05
1.617804362504220080e+03 9.686077532180965645e+05 9.658119170229231240e+05 9.623265558753970545e+05 9.589256167548857629e+05 9.555203742480414221e+05 9.521108112031986238e+05 9.486969030222649453e+05 9.452786185960550793e+05 9.418559191681491211e+05 9.384287572398253251e+05 9.349970760143174557e+05 9.315608099168407498e+05 9.281198870805667248e+05 9.246742355015403591e+05 9.219518102766687516e+05
1.667804362504220080e+03 9.483172693889979273e+05 9.455161655212533660e+05 9.420242712901843479e+05 9.386170145316730486e+05 9.352054123743243981e+05 9.317894257479271619e+05 9.283690087059981888e+05 9.249441104341112077e+05 9.215146772494151955e+05 9.180806556201331550e+05 9.146419960274520563e+05 9.111986569826022023e+05 9.077506081255704630e+05 9.042978314308380941e+05 9.015698180998829193e+05
1.720929362504220080e+03 9.285782784572422970e+05 9.257714397299939301e+05 9.222722683509106282e+05 9.188579429764722008e+05 9.154391859899237752e+05 9.120159531332951738e+05 9.085882012358489446e+05 9.051558911496098153e+05 9.017189899871716043e+05 8.982774730529201915e+05 8.948313255409674020e+05 8.913805444428088376e+05 8.879251415746492567e+05 8.844651485115385149e+05 8.817315731714377180e+05
