TIME T_sat_Ch0_mesh1 T_sat_Ch0_mesh2 T_sat_Ch0_mesh3 T_sat_Ch0_mesh4 T_sat_Ch0_mesh5 T_sat_Ch0_mesh6 T_sat_Ch0_mesh7 T_sat_Ch0_mesh8 T_sat_Ch0_mesh9 T_sat_Ch0_mesh10 T_sat_Ch0_mesh11 T_sat_Ch0_mesh12 T_sat_Ch0_mesh13 T_sat_Ch0_mesh14 T_sat_Ch0_mesh15 
1.509679362504220080e+03 4.276989613265836851e+02 4.274981380904390562e+02 4.272466709882174314e+02 4.270001864404047751e+02 4.267522382522928979e+02 4.265028073905582460e+02 4.262518743077142744e+02 4.259994189992928568e+02 4.257454211033082174e+02 4.254898600021010679e+02 4.252327148732902629e+02 4.249739646975267533e+02 4.247135881268220032e+02 4.244515630661833825e+02 4.242436097963918655e+02
1.559679362504220080e+03 4.266749723192606893e+02 4.264696413788501559e+02 4.262125857708970784e+02 4.259604903127954003e+02 4.257068585443803954e+02 4.254516699871368814e+02 4.251949037646491547e+02 4.249365386621771563e+02 4.246765531387441115e+02 4.244149252653384110e+02 4.241516324012083032e+02 4.238866503363761922e+02 4.236199521724493025e+02 4.233515100490748750e+02 4.231384288781827081e+02
1.609679362504220080e+03 4.254558303912681936e+02 4.252449889472683253e+02 4.249809178283800293e+02 4.247219690352889074e+02 4.244613931388855690e+02 4.241991676678792373e+02 4.239352695077908493e+02 4.236696747823008309e+02 4.234023587190372382e+02 4.231332955131837821e+02 4.228624582298176620e+02 4.225898190118145976e+02 4.223153501472147582e+02 4.220390264233881794e+02 4.218196453431978625e+02
1.659679362504220080e+03 4.243416687677098480e+02 4.241255920842229443e+02 4.238549269142852154e+02 4.235894557094929951e+02 4.233222663266563472e+02 4.230533335750054107e+02 4.227826315666271171e+02 4.225101338248705360e+02 4.222358134451335445e+02 4.219596432511777948e+02 4.216815958556751411e+02 4.214016435768714928e+02 4.211197581207213148e+02 4.208359100675011746e+02 4.206105091262650149e+02
1.709679362504220080e+03 4.233036559902359386e+02 4.230825394489668838e+02 4.228055111612641213e+02 4.225337537721053423e+02 4.222601872188247398e+02 4.219847844938097410e+02 4.217075180799434406e+02 4.214283599486485627e+02 4.211472815068951832e+02 4.208642535033044396e+02 4.205792459407450679e+02 4.202922280996201607e+02 4.200031686146655261e+02 4.197120354355676000e+02 4.194808057690933651e+02
1.759679362504220080e+03 4.223110802412710427e+02 4.220850005516620627e+02 4.218017021517711100e+02 4.215237507078743988e+02 4.212438990108087751e+02 4.209621181379169457e+02 4.206783784982573025e+02 4.203926498031252663e+02 4.201049010370524002e+02 4.198151004300203795e+02 4.195232154371889237e+02 4.192292127759429832e+02 4.189330584304204876e+02 4.186347174740654964e+02 4.183977180873378074e+02
1.809679362504220080e+03 4.213494447304937580e+02 4.211183694332177083e+02 4.208287533033297905e+02 4.205445635478571376e+02 4.202583793261022151e+02 4.199701694400025644e+02 4.196799019162015156e+02 4.193875439892935901e+02 4.190930620878273203e+02 4.187964218406484633e+02 4.184975881642721447e+02 4.181965256014062788e+02 4.178931990426079324e+02 4.175875749135345814e+02 4.173447528439726284e+02
1.859679362504220080e+03 4.204737667576853823e+02 4.202381770359157258e+02 4.199429253186865481e+02 4.196530931990130284e+02 4.193611788661171431e+02 4.190671491455533442e+02 4.187709702338361240e+02 4.184726078134571026e+02 4.181720271501943671e+02 4.178691930710096472e+02 4.175640696990924994e+02 4.172566199620331417e+02 4.169468050427863659e+02 4.166345840267273957e+02 4.163864712849526200e+02
1.909679362504220080e+03 4.197934418301560413e+02 4.195539773722487098e+02 4.192537855493523580e+02 4.189591100747425116e+02 4.186622775474225477e+02 4.183632536245830806e+02 4.180620032405939810e+02 4.177584905060435290e+02 4.174526785987548010e+02 4.171445297190888368e+02 4.168340051836076441e+02 4.165210657145879622e+02 4.162056718572495129e+02 4.158877847001664350e+02 4.156351434667757303e+02
1.959679362504220080e+03 4.191335297297868010e+02 4.188903980297627641e+02 4.185855619235240965e+02 4.182863013561873231e+02 4.179848122628725378e+02 4.176810587435046500e+02 4.173750041687742396e+02 4.170666112767327149e+02 4.167558423126709499e+02 4.164426591706641148e+02 4.161270234650604607e+02 4.158088964815207191e+02 4.154882388603346044e+02 4.151650099140661041e+02 4.149080937909205886e+02
